source_db	citing paper's eid	citing paper's id	citing paper's doi	cited paper's title	cited paper's authors	cited paper's volume	cited paper's issue
scopus	2-s2.0-85091849520	84874100150	10.1080/09535314.2012.761180	THE CONSTRUCTION OF WORLD INPUT-OUTPUT TABLES IN THE WIOD PROJECT	Dietzenbacher, Erik; Los, Bart; Timmer, Marcel; de Vries, Gaaitzen; Stehrer, Robert	25	1
scopus	2-s2.0-85091849520	23144451487		The Empirics of Agglomeration and Trade	Head; Mayer		
scopus	2-s2.0-85091849520	84907952085	10.1257/mac.6.4.39	Trade in intermediate inputs and business cycle comovement	Johnson, Robert C.	6	4
scopus	2-s2.0-85091849520	84858073158	10.1016/j.jinteco.2011.10.003	Accounting for intermediates: Production sharing and trade in value added	Johnson, Robert C.; Noguera, Guillermo	86	2
scopus	2-s2.0-85091849520	84894175344	10.1257/aer.104.2.459	Tracing value-added and double counting in gross exports	Koopman, Robert; Wang, Zhi; Wei, Shang-Jin; Wei, Shang-Jin	104	2
scopus	2-s2.0-85091847177	36221554	10.1111/1468-0262.00273	Determining the number of factors in approximate factor models	Bai, Jushan; Ng, Serena	70	1
scopus	2-s2.0-85091847177	85057963582	10.1016/j.jeconom.2018.10.006	A multiple testing approach to the regularisation of large sample correlation matrices	Bailey, Natalia; Pesaran, M. Hashem; Pesaran, M. Hashem; Smith, L. Vanessa	208	2
scopus	2-s2.0-85091847177	84925724969	10.1111/jmcb.12204	Global liquidity, house prices, and the macroeconomy: Evidence from advanced and emerging economies	Cesa-Bianchi, Ambrogio; Cespedes, Luis Felipe; Rebucci, Alessandro	47	S1
scopus	2-s2.0-85091847177	85038838684	10.1016/j.jinteco.2017.11.006	International credit supply shocks	Cesa-Bianchi, Ambrogio; Cesa-Bianchi, Ambrogio; Ferrero, Andrea; Ferrero, Andrea; Rebucci, Alessandro; Rebucci, Alessandro	112	
scopus	2-s2.0-85091847177	85101049229	10.1093/RFS/HHZ098	Uncertainty and economic activity: A multicountry perspective	Cesa-Bianchi, Ambrogio; Pesaran, M. Hashem; Rebucci, Alessandro	33	8
scopus	2-s2.0-85091847177	79951685846	10.1111/j.1368-423X.2010.00330.x	Weak and strong cross-section dependence and estimation of large panels	Chudik, Alexander; Pesaran, M. Hashem; Tosetti, Elisa; Chudik, Alexander; Tosetti, Elisa; Pesaran, M. Hashem	14	1
scopus	2-s2.0-85091847177	79953693252	10.1086/659238	Risks for the long run and the real exchange rate	Colacito, Riccardo; Croce, Mariano M.	119	1
scopus	2-s2.0-85091847177	84998893241	10.1016/j.jjie.2016.06.003	Macroprudential policy under high capital mobility: policy implications from an academic perspective	Engel, Charles	42	
scopus	2-s2.0-85091847177	85091885475		Capital Controls: Theory and Evidence	Erten; Korinek; Ocampo		
scopus	2-s2.0-85091847177	85078958750		Monetary Policy Transmission in Emerging Markets: An Application to Chile	Gourinchas	25	
scopus	2-s2.0-85091847177	85038245849	10.1016/j.jinteco.2017.11.005	International transmissions of monetary shocks: Between a trilemma and a dilemma	Han, Xuehui; Wei, Shang-Jin; Wei, Shang-Jin; Wei, Shang-Jin; Wei, Shang-Jin	110	
scopus	2-s2.0-85091847177	85091849409		Detection of units with pervasive effects in large panel data models	Kapetanios; Pesaran; Reese		
scopus	2-s2.0-85091847177	84925956173	10.1016/j.jmoneco.2014.11.010	Evaluating international consumption risk sharing gains: An asset return view	Lewis, Karen K.; Lewis, Karen K.; Liu, Edith X.	71	
scopus	2-s2.0-85091847177	150312		Asset Prices in an Exchange Economy	Lucas	46	
scopus	2-s2.0-85091847177	85091875978		The Effect of the China Connect	Ma; Rogers; Zhou		
scopus	2-s2.0-85091847177	85100299046	10.1093/restud/rdaa019	U.S. Monetary Policy and the Global Financial Cycle	Miranda-Agrippino, Silvia; Rey, Hélène	87	6
scopus	2-s2.0-85091847177	32219575	10.1016/s0165-1765(97)00214-0	Generalized impulse response analysis in linear multivariate models	Pesaran, H. Hashem; Shin, Yongcheol; Pesaran, H. Hashem	58	1
scopus	2-s2.0-85091847177	84916877205		Dilemma not trilemma: The global cycle and monetary policy independence	Rey		
scopus	2-s2.0-85091847177	49549135545	10.1016/0022-0531(76)90046-6	The arbitrage theory of capital asset pricing	Ross, Stephen A	13	3
scopus	2-s2.0-85091847177	36772155	10.1111/1468-0297.00069	Did the ems reduce the cost of capital	Sentana, Enrique	112	482
scopus	2-s2.0-85091847177	2018246	10.1016/0167-2231(95)00030-4	Evaluating the gains from international risksharing	Tesar, Linda L.; Tesar, Linda L.	42	C
scopus	2-s2.0-85091847177	85033680276	10.1016/j.jinteco.2017.08.004	Capital controls as shock absorbers	Ben Zeev, Nadav	109	
scopus	2-s2.0-85091736665	33947532208	10.1086/511283	Emerging market business cycles: The cycle is the trend	Aguiar, Mark; Gopinath, Gita; Gopinath, Gita	115	1
scopus	2-s2.0-85091736665	58849149415	10.1111/j.1538-4616.2008.00201.x	Price stability with imperfect financial integration	Benigno, Pierpaolo	41	SUPPL. 1
scopus	2-s2.0-85091736665	42949090272	10.1016/j.jet.2007.07.008	Limited asset markets participation, monetary policy and (inverted) aggregate demand logic	Bilbiie, Florin O.; Bilbiie, Florin O.	140	1
scopus	2-s2.0-85091736665	1274822		Consumption, Income, and Interest Rates: Reinterpreting the Time Series Evidence	Campbell; Mankiw		
scopus	2-s2.0-85091736665	428728		Liquidity Effects and the Monetary Transmission Mechanism	Christiano; Eichenbaum	82	
scopus	2-s2.0-85091736665	78650462101	10.1257/aer.100.5.2510	Real business cycles in emerging countries?	García-Cicco, Javier; Pancrazi, Roberto; Uribe, Martín; Uribe, Martín	100	5
scopus	2-s2.0-85091736665	85091735400		Liquidity Constraint, Consumption Volatility and Consumption Gap	Jung; Kim	25	
scopus	2-s2.0-85091736665	84908170176	10.1353/eca.2014.0002	The wealthy hand-to-mouth	Kaplan, Greg; Weidner, Justin; Violante, Giovanni L.	Spring 2014	
scopus	2-s2.0-85091736665	85087372180		Does credit supply accelerate business cycle changes in Korea?: Some new evidence by incorporating regime changes	Kim, Sei-Wan; Kim, Jinill; Park, Jungsoo	31	2
scopus	2-s2.0-85091736665	30527910	10.2307/2109846	Money, prices, interest rates and the business cycle	King, Robert G.; Watson, Mark W.	78	1
scopus	2-s2.0-85091736665	1551170	10.1016/0022-0531(90)90001-Z	Liquidity and interest rates	Lucas Jr., Robert E	50	2
scopus	2-s2.0-85091736665	15844361919	10.1016/j.jmoneco.2004.04.011	Business cycles in emerging economies: The role of interest rates	Neumeyer, Pablo A.; Neumeyer, Pablo A.; Perri, Fabrizio; Perri, Fabrizio; Perri, Fabrizio; Perri, Fabrizio	52	2
scopus	2-s2.0-85091736665	77956750491	10.1016/S1574-0048(99)01004-6	Chapter 1 Business cycle fluctuations in us macroeconomic time series	Stock, James H.; Watson, Mark W.	1	PART A
scopus	2-s2.0-85091736665	85055297484		Measures of Fit for Calibrated Models	Watson	101	
scopus	2-s2.0-85091725611	84994365044	10.1016/j.jeem.2016.06.002	Environmental policies and productivity growth: Evidence across industries and firms	Albrizio, Silvia; Kozluk, Tomasz; Zipperer, Vera	81	
scopus	2-s2.0-85091725611	84881844837	10.2307/2297968	Some tests of specification for panel data:monte carlo evidence and an application to employment equations	Arellano, Manuel; Bond, Stephen	58	2
scopus	2-s2.0-85091725611	1841368	10.1016/0095-0696(90)90051-Y	The impact of environmental regulations on industry productivity: Direct and indirect effects	Barbera, Anthony J; McConnell, Virginia D	18	1
scopus	2-s2.0-85091725611	80053331157	10.1016/j.ecolecon.2011.08.019	Local environmental regulation and plant-level productivity	Becker, Randy A.	70	12
scopus	2-s2.0-85091725611	254735	10.1016/S0047-2727(99)00101-2	Environmental regulation and labor demand: Evidence from the South Coast Air Basin	Berman, Eli; Bui, Linda T.M.; Berman, Eli	79	2
scopus	2-s2.0-85091725611	208496		Patents and R and D: Is there a lag?	Bronwyn; Hall; Hausman	27	2
scopus	2-s2.0-85091725611	1942530788	10.1177/1070496503256500	Examining the evidence on environmental regulations and industry location	Brunnermeier, Smita B.; Levinson, Arik	13	1
scopus	2-s2.0-85091725611	347123633	10.1023/A:1025897327639	The Clean Air Act of 1970 and Adult Mortality	Chay, Kenneth; Dobkin, Carlos; Greenstone, Michael	27	3
scopus	2-s2.0-85091725611	23044469932	10.1086/427462	Does air quality matter? Evidence from the housing market	Chay, Kenneth Y.; Chay, Kenneth Y.; Greenstone, Michael	113	2
scopus	2-s2.0-85091725611	33646458538	10.1111/j.1467-9442.2006.00439.x	Endogenous pollution havens: Does FDI influence environmental regulations?	Cole, Matthew A.; Elliott, Robert J.R.; Fredriksson, Per G.	108	1
scopus	2-s2.0-85091725611	78650472272	10.1257/aer.100.5.2031	An exploration of technology diffusion	Comin, Diego; Hobijn, Bart	100	5
scopus	2-s2.0-85091725611	21044211	10.1086/261170	Environmental regulations and productivity growth: the case of fossil-fuelled electric power generation.	Gollop; Roberts	91	4
scopus	2-s2.0-85091725611	242410160	10.1016/S0095-0696(03)00031-7	Plant vintage, technology, and environmental regulation	Gray, Wayne B.; Shadbegian, Ronald J.	46	3
scopus	2-s2.0-85091725611	33749620418	10.1016/j.reseneeco.2005.11.001	Environmental regulation and the productivity of Japanese manufacturing industries	Hamamoto, Mitsutsugu	28	4
scopus	2-s2.0-85091725611	85091725111		The impact of environmental regulation and productivity: The case of electricity generation under the CAAA-1990	Hancevic		
scopus	2-s2.0-85091725611	85062687567	10.1080/1540496X.2019.1584556	The Impact of Environmental Regulation on Productivity and Exports: A Firm-Level Evidence from China	Huang, Xiaobing; Liu, Xiaolian	55	11
scopus	2-s2.0-85091725611	31321644	10.1162/003465397557196	Environmental regulation and innovation: A panel data study	Jaffe, Adam B.; Palmer, Karen	79	4
scopus	2-s2.0-85091725611	2237580		Environmental regulation and the competitiveness of US manufacturing: What does the evidence tell Us?	Jaffe; Peterson; Portney; Stavins	33	
scopus	2-s2.0-85091725611	84881952550	10.4337/9781849805773.00011	Environmental policy stringency and foreign direct investment	Kalamova, Margarita; Johnstone, Nick		
scopus	2-s2.0-85091725611	67349181661	10.1016/j.jinteco.2009.04.004	An empirical investigation of the pollution haven effect with strategic environment and trade policy	Kellenberg, Derek K.	78	2
scopus	2-s2.0-85091725611	84855513973	10.1016/j.reseneeco.2011.12.001	Environmental regulations and innovation activity in UK manufacturing industries	Kneller, Richard; Manderson, Edward	34	2
scopus	2-s2.0-85091725611	84966681566		Environmental policies and productivity growth - A critical review of empirical findings	Koźluk, Tomasz; Zipperer, Vera	1	
scopus	2-s2.0-85091725611	79960707109	10.1111/j.1530-9134.2011.00301.x	Environmental policy, innovation and performance: New insights on the porter hypothesis	Lanoie, Paul; Laurent-Lucchetti, Jérémy; Johnstone, Nick; Ambec, Stefan	20	3
scopus	2-s2.0-85091725611	10044252237	10.1111/j.0008-4085.2004.00263.x	To factor productivity and the measurement of technological change	Lipsey, Richard G.; Carlaw, Kenneth I.	37	4
scopus	2-s2.0-85091725611	4344665627	10.1016/j.jue.2004.03.007	Effects of environmental regulation on foreign and domestic plant births: Is there a home field advantage?	List, John A.; List, John A.; McHone, W. Warren; Millimet, Daniel L.	56	2
scopus	2-s2.0-85091725611	21444434231	10.3368/le.81.2.303	Environmental regulations and technological change in the offshore oil and gas industry	Managi, Shunsuke; Opaluch, James J.; Grigalunas, Thomas A.; Di, Jin	81	2
scopus	2-s2.0-85091725611	84893669814		Advantages of hierarchical linear modeling	Osborne, Jason W.	7	1
scopus	2-s2.0-85091725611	1269195		Tightening environmental standards: The benefit-cost or the no- cost paradigm?	Palmer; Oates; Portney	9	4
scopus	2-s2.0-85091725611	1269204		Toward a new conception of the environment-competitiveness relationship	Porter; van der Linde	9	4
scopus	2-s2.0-85091725611	84982684969	10.1111/j.1467-9310.1992.tb00812.x	Successful industrial innovation: critical factors for the 1990s	Rothwell, Roy	22	3
scopus	2-s2.0-85091725611	26044470209	10.1123/jsm.19.4.387	Hierarchical linear modeling of multilevel data	Todd, Samuel Y.; Barilla, Anthony G.; Crook, T. Russell; Todd, Samuel Y.; Crook, T. Russell; Barilla, Anthony G.	19	4
scopus	2-s2.0-85091725611	1580825		The impact of pollution charges on productivity growth in Canadian Brewing	Smith; Sims	16	3
scopus	2-s2.0-85091725611	67349234134	10.1007/s10640-008-9236-6	Agglomeration effects in foreign direct investment and the pollution haven hypothesis	Wagner, Ulrich J.; Timmins, Christopher D.	43	2
scopus	2-s2.0-85091725611	84925491266	10.1016/j.ausmj.2014.12.002	The ecological fallacy: How to spot one and tips on how to use one to your advantage	Winzar, Hume	23	1
scopus	2-s2.0-85090765965	85090787044		U.N. speech, Trump threatens to “totally destroy North Korea” and calls Kim Jong Un “Rocket Man”	Nakamura; Gearan		
scopus	2-s2.0-85090765965	85090797079		Stockholm breakdown reflects North Korea’s failure to compromise	Maxwell; Ha		
scopus	2-s2.0-85090765965	85090772106		Trump’s impromptu approach to North Korea divides his administration	Wilkinson; Bierman		
scopus	2-s2.0-85090765965	85046705213		Worldwide Threat Assessment of US Intelligence Community	Coats		
scopus	2-s2.0-85090765965	85090789473		Has Built 10 More Nukes	Cho		
scopus	2-s2.0-85090765965	85090788860		Undeclared North Korea: the Kumchon-ni Missile Operating Base	Bermudez; Cha		
scopus	2-s2.0-85090765965	85090790285		How South Korea Pulled Trump and Kim Back from the Brink	Friedman		
scopus	2-s2.0-85090734838	85090705118		O gosudarstvennom upravlenii [The Governance of China]	Xi	1	
scopus	2-s2.0-85090734838	85090700085		Xi’s Vision for Transforming Global Governance a Strategic Challenge for Washington and Its Allies	Liza		
scopus	2-s2.0-85090734838	85090743103		China’s Lost Face and the Two Koreas: The Effects of Culture and China’s Lost Face and the Two Koreas: The Effects of Culture and Identity on Chinese Foreign Policy (2019)	Lee	1594	
scopus	2-s2.0-85090734838	85090728604		South Korean Public Opinion	Jiyoon		
scopus	2-s2.0-85090734838	85063109004	10.20542/0131-2227-2019-63-1-18-24	Russian-Chinese strategic partnership and North Korean nuclear and missile issue	Mikheev, Vasily V.; Ignat'Ev, Sergei V.; Mikheev, Vasily V.	63	1
scopus	2-s2.0-85090734838	85090728191		China’s Regional Economics and the Asian Region	Ash		
scopus	2-s2.0-85090734838	85052651036	10.20542/0131-2227-2018-62-6-77-85	China: Trends of international interaction amid contemporary challenges	Arapova, Ekaterina Ya.	62	6
scopus	2-s2.0-85090734838	85090679263		Kitai v obshchestvennom mnenii zhitelei Tikhookeanskoi Rossii (po itogam oprosa 2017 g.) [Public Opinion of the Inhabitants of Pacific Russia toward China (According to Survey 2017)]	Larin; Larina		2
scopus	2-s2.0-85089349089	38349107340	10.1007/s11069-007-9107-4	Japan's Jishu-bosai-soshiki community activities: Analysis of its role in participatory community disaster risk management	Bajek, Robert; Matsuda, Yoko; Okada, Norio	44	2
scopus	2-s2.0-85089349089	33150479	10.1111/1467-7717.00112	Community-based disaster management during the 1997 Red River Flood in Canada	Buckland, Jerry; Rahman, Matiur	23	2
scopus	2-s2.0-85089349089	85054710818	10.13106/jafeb.2018.vol5.no3.185	Development and distribution of risk governance framework in terms of socially viable solutions	Choi, Choongik; Choi, Junho	5	3
scopus	2-s2.0-85089349089	85049220677	10.15722/jds.16.6.201806.17	Distribution and application of community-based disaster risk information: Lessons from Shiga prefecture in Japan	Choi, Choongik; Choi, Junho	16	6
scopus	2-s2.0-85089349089	85064905268	10.13106/jafeb.2019.vol6.no1.289	Development and application of a sensemaking approach to community-based disaster risk governance	Choi, Choongik; Tatano, Hirokazu; Choi, Junho	6	1
scopus	2-s2.0-85089349089	84861682530	10.1007/s11069-012-0106-8	Building resilience to natural hazards in Indonesia: Progress and challenges in implementing the Hyogo Framework for Action	Djalante, Riyanti; Thomalla, Frank; Carnegie, Michelle; Sinapoy, Muhammad Sabaruddin	62	3
scopus	2-s2.0-85089349089	84942095994	10.1007/s13753-015-0046-5	Climate Change and the Sendai Framework for Disaster Risk Reduction	Kelman, Ilan; Kelman, Ilan	6	2
scopus	2-s2.0-85089349089	84961674968	10.1080/17525098.2016.1141461	The relationship between social support and acculturative stress from cultural adaptation of people displaced from North Korea to South Korea	Kim, Jyung-Soo; Kim, Joon-Ho	9	1
scopus	2-s2.0-85089349089	80053644458	10.3763/ehaz.2011.0005	Revisiting community-based disaster risk management	Maskrey, Andrew	10	1
scopus	2-s2.0-85089349089	78149376554		Community diagnosis for sustainable disaster preparedness	Matsuda; Okada	28	1
scopus	2-s2.0-85089349089	25844436154		The Sunshine Policy and the Korean Summit: Assessments and Prospects	Moon	12	4
scopus	2-s2.0-85089349089	84894098824		The Hyogo Framework for Action and its implications for disaster management and reduction in Africa	Olowu	3	1
scopus	2-s2.0-85089349089	37993861	10.1023/A:1022917721797	Disaster management and community planning, and public participation: How to achieve sustainable hazard mitigation	Pearce, Laurie	28	02월 03일
scopus	2-s2.0-85089349089	85089341233		The Role of Science and Engineering in Mitigating Natural Hazards	Press	18	2
scopus	2-s2.0-85089349089	85000019102	10.1007/s11069-014-1380-4	Insights on social learning and collaborative action plan development for disaster risk reduction: practicing Yonmenkaigi System Method (YSM) in flood-prone Mumbai	Samaddar, Subhajyoti; Choi, Junho; Tatano, Hirokazu; Misra, Bijay Anand	75	2
scopus	2-s2.0-85089349089	84986315208	10.1007/s11069-016-2564-x	What constitutes successful participatory disaster risk management? Insights from post-earthquake reconstruction work in rural Gujarat, India	Samaddar, Subhajyoti; Choi, Junho; Tatano, Hirokazu; Okada, Norio	85	1
scopus	2-s2.0-85089349089	85083338658	10.15722/JDS.17.11.201911.27	Development of a Customer friendly GIS-based disaster management system in South Korea	Song, Wanyoung; Choi, Junho; Lee, Dongkwan; Choi, Chooiigik	17	11
scopus	2-s2.0-85089349089	84877683180	10.1146/annurev-environ-020911-095618	Disaster governance: Social, political, and economic dimensions	Tierney, Kathleen	37	
scopus	2-s2.0-85089349089	84942110464	10.1007/s13753-015-0053-6	From Yokohama to Sendai: Approaches to Participation in International Disaster Risk Reduction Frameworks	Tozier de la Poterie, Arielle; Baudoin, Marie-Ange	6	2
scopus	2-s2.0-85089349089	85016799356	10.1007/s13753-017-0117-x	Science and Technology Networks: A Helping Hand to Boost Implementation of the Sendai Framework for Disaster Risk Reduction 2015–2030?	Trogrlić, RobertŠakić.; Trogrlić, RobertŠakić.; Cumiskey, Lydia; Triyanti, Annisa; Eltinay, Nuha; Trogrlić, RobertŠakić.; Cumiskey, Lydia; Cumiskey, Lydia; Triyanti, Annisa; Duncan, Melanie J.; Eltinay, Nuha; Hogeboom, Rick J.; Jasuja, Mansi; Jasuja, Mansi; Meechaiya, Chinaporn; Pickering, Christina J.; Murray, Virginia; Murray, Virginia	8	1
scopus	2-s2.0-85089349089	84942120301	10.1007/s13753-015-0048-3	Mainstreaming Early Warning Systems in Development and Planning Processes: Multilevel Implementation of Sendai Framework in Indus and Sahel	Zia, Asim; Zia, Asim; Wagner, Courtney Hammond	6	2
scopus	2-s2.0-85088925559	85099168078		An Empirical Study of Port SOC Impact on Trade Volume	Ahn; Lee	41	5
scopus	2-s2.0-85088925559	84937149683		A theoretical foundation for the gravity equation	Anderson, James E.	69	1
scopus	2-s2.0-85088925559	584479		Economic Welfare and the Allocation of Resources for Invention	Arrow		
scopus	2-s2.0-85088925559	45249127754	10.1016/0304-3932(89)90047-0	Is public expenditure productive?	Aschauer, David Alan	23	2
scopus	2-s2.0-85088925559	84860443220	10.1093/jae/ejm024	Infrastructure and economic development in Africa: A review	Ayogu, Melvin	16	SUPPL. 1
scopus	2-s2.0-85088925559	84863394201	10.1057/mel.2011.17	A study of dry port development in China	Beresford; Pettit; Xu; Williams	14	1
scopus	2-s2.0-85088925559	719064		The Heckscher-Ohlin Samuelson Model, the Linder Hypothesis and Determinant of Bilateral Intra-industry Trade	Bergstrand	100	403
scopus	2-s2.0-85088925559	84929303940	10.1016/j.tra.2015.04.019	Innovation strategy in new transportation systems: The case of Crossrail	Dodgson, Mark; MacAulay, Sam; Gann, David; Davies, Andrew	77	
scopus	2-s2.0-85088925559	36376395	10.1111/1468-0262.00352	Technology, geography, and trade	Eaton, Jonathan; Eaton, Jonathan; Kortum, Samuel; Kortum, Samuel	70	5
scopus	2-s2.0-85088925559	61649116126	10.1016/j.tranpol.2008.12.012	Regional road development, rural and urban poverty: Evidence from China	Fan, Shenggen; Chan-Kang, Connie	15	5
scopus	2-s2.0-85088925559	11144304805	10.1007/s10110-003-0180-0	The new economic geography: Past, present and the future	Fujita, Masahisa; Krugman, Paul	83	1
scopus	2-s2.0-85088925559	84993097032		The Geography of Logistics	Gooley	37	1
scopus	2-s2.0-85088925559	42149154442	10.1162/qjec.2008.123.2.441	Estimating trade flows: Trading partners and trading volumes	Helpman, Elhanan; Melitz, Marc; Rubinstein, Yona	123	2
scopus	2-s2.0-85088925559	36248977170	10.1257/jep.21.3.131	Transportation costs and international trade in the second era of globalization	Hummels, David	21	3
scopus	2-s2.0-85088925559	84881552368	10.1257/aer.103.7.2935	Time as a trade barrier	Hummels, David L.; Hummels, David L.; Schaur, Georg	103	7
scopus	2-s2.0-85088925559	84996507896		Implications of Korean Foreign Direct Investment in China on its Trade Balance	Im	11	1
scopus	2-s2.0-85088925559	345131357	10.1108/09600030210452459	Distribution and logistics development in China: The revolution has begun	Jiang, Bin; Prater, Edmund	32	9
scopus	2-s2.0-85088925559	85099132543		The Effects of Korea’s Direct Investment on Exports: Evidence from Country-industry Panel Data	Jun; Wang	40	4
scopus	2-s2.0-85088925559	85099144741		Logistics Performance Impact on FDI Inflow in Developing Countries	Jun	43	2
scopus	2-s2.0-85088925559	84878226797	10.1016/S2092-5212(11)80015-5	Application of fuzzy AHP and ELECTRE to China dry port location selection	Ka, Bian	27	2
scopus	2-s2.0-85088925559	85099120052		An Empirical Analysis on Trade Effect of Regional Economic Integration Scenarios in East Asia	Kang; Lee	34	2
scopus	2-s2.0-85088925559	85099144370		An Analysis on the Economic Effects of China FTA	Kang; Jeon	18	1
scopus	2-s2.0-85088925559	77956620754	10.1016/j.sbspro.2010.04.039	A conceptual model for intermodal freight logistics centre location decisions	Kayikci, Yasanur	2	3
scopus	2-s2.0-85088925559	8147295		Growing World Trade: Causes and Consequences	Krugman; Cooper; Srinivasan	1995	1
scopus	2-s2.0-85088925559	80051760786	10.1080/00036846.2011.566189	Transportation infrastructure investment, growth and international trade in Turkey	Kuştepeli, Yeşim; Gülcan, Yaprak; Akgüngör, Sedef	44	20
scopus	2-s2.0-85088925559	85099168908		The Effect of Korean FDI on Intra-industry Trade: The Case of China and the USA	Kwon; Joo	13	4
scopus	2-s2.0-85088925559	85096608434		Are Trade and Transport Logistics Activities Mutually Reinforcing? Some Empirical Evidences from ASEAN Countries	Lai; Pang; Wong; Lun; Ng	4	1
scopus	2-s2.0-85088925559	34548456494	10.1007/s00168-006-0112-4	Infrastructure and regional growth, growth dynamics and policy relevance for India	Lall, Somik V.	41	3
scopus	2-s2.0-85088925559	84878231443	10.1016/j.tre.2013.03.007	Hinterland operations of sea ports do matter: Dry port usage effects on transportation costs and CO2 emissions	Lättilä, Lauri; Henttu, Ville; Hilmola, Olli-Pekka	55	
scopus	2-s2.0-85088925559	85099167318		A Study on Classification of the Development of Chinese Dry Ports under the “One Belt One Road” Initiative	Lee	18	3
scopus	2-s2.0-85088925559	85099137087		A Study on Evaluating Competitiveness of China’s Inland Ports	Lee	20	2
scopus	2-s2.0-85088925559	85099139081		The ‘One Belt One Road’ Initiative and Development of Inland Port in China	Lee; Lee	33	3
scopus	2-s2.0-85088925559	84996521040		Economic Impact of Korea’s Outward FDIs into Developed and Developing Economies across Industries	Lee; Huh	13	2
scopus	2-s2.0-85088925559	85099137976		The Impact of Infrastructure Efficiency on Trade Flows in East Asian Countries: Using Gravity Model	Lee; Bang	14	3
scopus	2-s2.0-85088925559	85074289987		Transport Cost, Relative Price, and International Risk Sharing	Lee	15	2
